Neighbourhood ,Neighbourhood ID,Average Income of Household
Agincourt North,129,427037
Agincourt South-Malvern West,128,278390
Alderwood,20,168602
Annex,95,792507
Banbury-Don Mills,42,493486
Bathurst Manor,34,251583
Bay Street Corridor,76,352218
Bayview Village,52,354894
Bayview Woods-Steeles,49,253036
Bedford Park-Nortown,39,720203
Beechborough-Greenbrook,112,109880
Bendale,127,326482
Birchcliffe-Cliffside,122,369161
Black Creek,24,261560
Blake-Jones,69,154132
Briar Hill-Belgravia,108,190243
Bridle Path-Sunnybrook-York Mills,41,1392010
Broadview North,57,126349
Brookhaven-Amesbury,30,176688
Cabbagetown-South St. James Town,71,301145
Caledonia-Fairbank,109,132879
Casa Loma,96,545338
Centennial Scarborough,133,215135
Church-Yonge Corridor,75,443734
Clairlea-Birchmount,120,350777
Clanton Park,33,168893
Cliffcrest,123,248846
Corso Italia-Davenport,92,304000
Danforth,66,260052
Danforth East York,59,334260
Don Valley Village,47,414411
Dorset Park,126,251476
Dovercourt-Wallace Emerson-Junction,93,594477
Downsview-Roding-CFB,26,562794
Dufferin Grove,83,128586
East End-Danforth,62,304010
Edenbridge-Humber Valley,9,441052
Eglinton East,138,343031
Elms-Old Rexdale,5,123119
Englemount-Lawrence,32,293189
Eringate-Centennial-West Deane,11,352269
Etobicoke West Mall,13,132460
Flemingdon Park,44,261233
Forest Hill North,102,258469
Forest Hill South,101,784645
Glenfield-Jane Heights,25,410012
Greenwood-Coxwell,65,216423
Guildwood,140,177062
Henry Farm,53,202357
High Park North,88,496958
High Park-Swansea,87,483620
Highland Creek,134,196620
Hillcrest Village,48,298716
Humber Heights-Westmount,8,238655
Humber Summit,21,202677
Humbermede,22,184459
Humewood-Cedarvale,106,289910
Ionview,125,169046
Islington-City Centre West,14,854623
Junction Area,90,310473
Keelesdale-Eglinton West,110,184802
Kennedy Park,124,229390
Kensington-Chinatown,78,222404
Kingsview Village-The Westway,6,272950
Kingsway South,15,900624
Lambton Baby Point,114,214945
L'Amoreaux,117,529383
Lansing-Westgate,38,356122
Lawrence Park North,105,470908
Lawrence Park South,103,1216585
Leaside-Bennington,56,841619
Little Portugal,84,202912
Long Branch,19,137480
Malvern,132,533202
Maple Leaf,29,144062
Markland Wood,12,195412
Milliken,130,525507
Mimico (includes Humber Bay Shores),17,583422
Morningside,135,272837
Moss Park,73,170813
Mount Dennis,115,164344
Mount Olive-Silverstone-Jamestown,2,360648
Mount Pleasant East,99,348357
Mount Pleasant West,104,443047
New Toronto,18,188819
Newtonbrook East,50,335768
Newtonbrook West,36,260415
Niagara,82,369683
North Riverdale,68,318764
North St. James Town,74,144164
Oakridge,121,134303
Oakwood Village,107,267062
O'Connor-Parkview,54,354525
Old East York,58,257522
Palmerston-Little Italy,80,347339
Parkwoods-Donalda,45,623453
Pelmo Park-Humberlea,23,154568
Playter Estates-Danforth,67,194189
Pleasant View,46,219209
Princess-Rosethorn,10,538736
Regent Park,72,103250
Rexdale-Kipling,4,134305
Rockcliffe-Smythe,111,295358
Roncesvalles,86,377518
Rosedale-Moore Park,98,1413132
Rouge,131,729154
Runnymede-Bloor West Village,89,223885
Rustic,28,113995
Scarborough Village,139,185967
South Parkdale,85,258500
South Riverdale,70,662651
St.Andrew-Windfields,40,649291
Steeles,116,363045
Stonegate-Queensway,16,516575
Tam O'Shanter-Sullivan,118,475647
Taylor-Massey,61,102259
The Beaches,63,659192
Thistletown-Beaumond Heights,3,140050
Thorncliffe Park,55,195114
Trinity-Bellwoods,81,333954
University,79,197072
Victoria Village,43,171271
Waterfront Communities-The Island,77,662333
West Hill,136,316750
West Humber-Clairville,1,426156
Westminster-Branson,35,332776
Weston,113,171044
Weston-Pelham Park,91,127491
Wexford/Maryvale,119,336503
Willowdale East,51,572155
Willowdale West,37,272986
Willowridge-Martingrove-Richview,7,412302
Woburn,137,629030
Woodbine Corridor,64,240272
Woodbine-Lumsden,60,147462
Wychwood,94,239484
Yonge-Eglinton,100,222648
Yonge-St.Clair,97,541217
York University Heights,27,302358
Yorkdale-Glen Park,31,213860
