Neighborhood ,Neighborhood ID,Mexican Population
Agincourt North,129,30
Agincourt South-Malvern West,128,20
Alderwood,20,55
Annex,95,110
Banbury-Don Mills,42,65
Bathurst Manor,34,85
Bay Street Corridor,76,180
Bayview Village,52,55
Bayview Woods-Steeles,49,15
Bedford Park-Nortown,39,75
Beechborough-Greenbrook,112,25
Bendale,127,80
Birchcliffe-Cliffside,122,65
Black Creek,24,140
Blake-Jones,69,40
Briar Hill-Belgravia,108,155
Bridle Path-Sunnybrook-York Mills,41,30
Broadview North,57,85
Brookhaven-Amesbury,30,220
Cabbagetown-South St. James Town,71,75
Caledonia-Fairbank,109,155
Casa Loma,96,95
Centennial Scarborough,133,60
Church-Yonge Corridor,75,240
Clairlea-Birchmount,120,40
Clanton Park,33,25
Cliffcrest,123,65
Corso Italia-Davenport,92,165
Danforth,66,20
Danforth East York,59,75
Don Valley Village,47,75
Dorset Park,126,10
Dovercourt-Wallace Emerson-Junction,93,270
Downsview-Roding-CFB,26,330
Dufferin Grove,83,135
East End-Danforth,62,75
Edenbridge-Humber Valley,9,110
Eglinton East,138,10
Elms-Old Rexdale,5,25
Englemount-Lawrence,32,75
Eringate-Centennial-West Deane,11,30
Etobicoke West Mall,13,50
Flemingdon Park,44,60
Forest Hill North,102,70
Forest Hill South,101,30
Glenfield-Jane Heights,25,220
Greenwood-Coxwell,65,35
Guildwood,140,105
Henry Farm,53,35
High Park North,88,205
High Park-Swansea,87,165
Highland Creek,134,20
Hillcrest Village,48,40
Humber Heights-Westmount,8,15
Humber Summit,21,110
Humbermede,22,105
Humewood-Cedarvale,106,135
Ionview,125,15
Islington-City Centre West,14,185
Junction Area,90,150
Keelesdale-Eglinton West,110,65
Kennedy Park,124,35
Kensington-Chinatown,78,30
Kingsview Village-The Westway,6,110
Kingsway South,15,0
Lambton Baby Point,114,45
L'Amoreaux,117,60
Lansing-Westgate,38,40
Lawrence Park North,105,60
Lawrence Park South,103,75
Leaside-Bennington,56,35
Little Portugal,84,65
Long Branch,19,75
Malvern,132,55
Maple Leaf,29,60
Markland Wood,12,40
Milliken,130,20
Mimico (includes Humber Bay Shores),17,230
Morningside,135,80
Moss Park,73,120
Mount Dennis,115,115
Mount Olive-Silverstone-Jamestown,2,115
Mount Pleasant East,99,105
Mount Pleasant West,104,235
New Toronto,18,90
Newtonbrook East,50,20
Newtonbrook West,36,95
Niagara,82,230
North Riverdale,68,20
North St. James Town,74,100
Oakridge,121,35
Oakwood Village,107,240
O'Connor-Parkview,54,45
Old East York,58,15
Palmerston-Little Italy,80,65
Parkwoods-Donalda,45,130
Pelmo Park-Humberlea,23,90
Playter Estates-Danforth,67,35
Pleasant View,46,15
Princess-Rosethorn,10,60
Regent Park,72,25
Rexdale-Kipling,4,110
Rockcliffe-Smythe,111,275
Roncesvalles,86,75
Rosedale-Moore Park,98,95
Rouge,131,50
Runnymede-Bloor West Village,89,60
Rustic,28,35
Scarborough Village,139,30
South Parkdale,85,110
South Riverdale,70,115
St.Andrew-Windfields,40,100
Steeles,116,20
Stonegate-Queensway,16,105
Tam O'Shanter-Sullivan,118,55
Taylor-Massey,61,30
The Beaches,63,110
Thistletown-Beaumond Heights,3,105
Thorncliffe Park,55,80
Trinity-Bellwoods,81,55
University,79,10
Victoria Village,43,30
Waterfront Communities-The Island,77,340
West Hill,136,140
West Humber-Clairville,1,45
Westminster-Branson,35,70
Weston,113,90
Weston-Pelham Park,91,130
Wexford/Maryvale,119,100
Willowdale East,51,185
Willowdale West,37,50
Willowridge-Martingrove-Richview,7,110
Woburn,137,90
Woodbine Corridor,64,60
Woodbine-Lumsden,60,30
Wychwood,94,60
Yonge-Eglinton,100,50
Yonge-St.Clair,97,55
York University Heights,27,130
Yorkdale-Glen Park,31,105
